market_region,market_district,market_settlement,name,ADM1_NAME,ADM2_NAME,hex_4000km,finalsettlement
lower_shabelle,qoryooley,NA-3810-D27-007,Deg-Wariiri,Lower Shabelle,Qoryooley,W-54,NA-3810-D27-007
lower_shabelle,kurtunwaarey,NA-3810-J17-003,Dhaayaney,Lower Shabelle,Kurtunwaarey,U-55,NA-3810-J17-003
lower_shabelle,afgooye,NA-3806-T27-001,Dhista,Lower Shabelle,Afgooye,X-52,NA-3806-U30-002
bay,baidoa,NA-3802-S17-001,Digto,Bay,Baidoa,T-47,NA-3802-S17-001
bay,diinsoor,NA-3805-Q22-003,Diinsoor,Bay,Diinsoor,M-51,NA-3805-Q22-003
bay,baidoa,NC,Dugsiilow,Bay,Baidoa,P-46,NA-3802-N02-002
middle_shabelle,balcad,NA-3807-Q09-005,Faarax-Gololey,Middle Shabelle,Balcad,AA-51,NA-3807-Q09-005
middle_shabelle,balcad,NA-3807-M11-003,Farbaraako,Middle Shabelle,Balcad,AB-51,NA-3807-M11-003
lower_shabelle,marka,NC,Fidi-Carootay,Lower Shabelle,Marka,X-54,NA-3810-B32-001
NC,NC,NC,Gaay Warow,Lower Shabelle,Qoryooley,V-55,NA-3810-F24-005
bay,diinsoor,NA-3805-S14-001,Galoley,Bay,Diinsoor,K-51,NA-3805-S14-001
lower_shabelle,afgooye,NC,Galoole,Lower Shabelle,Afgooye,X-53,NA-3806-Z30-005
lower_shabelle,wanla_weyn,NA-3807-K04-004,Garas Shaare,Lower Shabelle,Wanla Weyn,Z-50,NA-3807-K04-004
bay,baidoa,NC,Garmagal,Bay,Baidoa,P-47,NA-3802-T02-004
middle_shabelle,balcad,NA-3807-P08-004,Gololey,Middle Shabelle,Balcad,AA-51,NA-3807-P08-004
bay,baidoa,NA-3801-Y29-005,Goof Yarow,Bay,Baidoa,O-48,NA-3801-Y29-005
bay,baidoa,NC,Goorisine,Bay,Baidoa,O-48,NA-3805-B32-005
bay,diinsoor,NA-3805-U11-001,Gurbaan,Bay,Diinsoor,J-52,NA-3805-U11-001
bakool,tayeeglow,NB-3814-Z23-001,Harrarte,Bakool,Tayeeglow,V-43,NB-3814-Z21-003
lower_shabelle,wanla_weyn,NA-3806-K31-006,Hawal Fiiley,Lower Shabelle,Wanla Weyn,Y-51,NA-3806-N33-015
bay,baidoa,NA-3805-G30-001,Idale,Bay,Baidoa,O-49,NA-3805-G30-001
lower_shabelle,afgooye,NA-3807-Z01-003,Idimon,Lower Shabelle,Afgooye,Y-53,NA-3807-Z01-003
NC,NC,NC,Iidow Guudow,Lower Shabelle,Afgooye,W-52,NA-3806-T28-001
bay,qansax_dheere,NA-3805-C23-003,Ismaaciil,Bay,Qansax Dheere,M-48,NA-3805-C23-003
hiraan,jalalaqsi,NA-3803-Q14-001,Jalalaqsi,Hiraan,Jalalaqsi,AC-46,NA-3803-Q14-001
lower_shabelle,afgooye,NA-3807-V04-003,Jambaluul,Lower Shabelle,Afgooye,Z-53,NA-3807-V04-003
NC,NC,NC,Janaale,Lower Shabelle,Marka,W-54,NA-3810-E27-003
bay,qansax_dheere,NA-3805-H18-003,Jidow,Bay,Qansax Dheere,L-50,NA-3805-H18-003
bay,diinsoor,NC,Juwaarey,Bay,Diinsoor,L-54,NA-3809-A18-001
