"hex_4000km","assessed_num","ki_num","food_situation_improved","food_situation_NC","food_situation_remained_same","food_situation_worse","food_source_bought_cash","food_source_given_someone","food_price_changed_prices_increased","access_healthservices_no","protection_incidents_none_no","dam_shelters_reason_conflict_looting","dam_shelters_reason_fire","dam_shelters_reason_flooding","shelters_not_rebuilt_around_half","shelters_not_rebuilt_less_half","shelters_not_rebuilt_more_half","handwashing_access_no","health_workers_available_yes","dam_shelter_yes","education_bar_cost_stud","shelters_not_rebuilt_dummy_NC","shelters_not_rebuilt_dummy_no","shelters_not_rebuilt_dummy_SL","shelters_not_rebuilt_dummy_yes"
"X-51",10,16,"0.3 (0.02, 0.58)","0.1 (-0.09, 0.29)","0 (0, 0)","0.6 (0.3, 0.9)","0.3 (0.02, 0.58)","0.4 (0.1, 0.7)","0.4 (0.1, 0.7)","0.7 (0.42, 0.98)","1 (1, 1)","0.4 (0.1, 0.7)","0.3 (0.02, 0.58)","0.1 (-0.09, 0.29)","0.5 (0.19, 0.81)","0 (0, 0)","0.1 (-0.09, 0.29)","0.8 (0.55, 1.05)","0.5 (0.19, 0.81)","0.8 (0.55, 1.05)","0.2 (-0.05, 0.45)","0 (0, 0)","0 (0, 0)","0.2 (-0.05, 0.45)","0.7 (0.42, 0.98)"
"X-52",2,3,"0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","1 (1, 1)","0 (0, 0)","0.5 (-0.2, 1.2)","1 (1, 1)","0 (0, 0)","0.5 (-0.2, 1.2)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0.5 (-0.2, 1.2)","0 (0, 0)","1 (1, 1)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0.5 (-0.2, 1.2)","0.5 (-0.2, 1.2)","0 (0, 0)","0 (0, 0)"
"X-54",5,13,"0.6 (0.17, 1.03)","0 (0, 0)","0 (0, 0)","0.4 (-0.03, 0.83)","0.2 (-0.15, 0.55)","0 (0, 0)","1 (1, 1)","0.2 (-0.15, 0.55)","0.2 (-0.15, 0.55)","0.2 (-0.15, 0.55)","0.4 (-0.03, 0.83)","0 (0, 0)","0.4 (-0.03, 0.83)","0.2 (-0.15, 0.55)","0 (0, 0)","0.8 (0.45, 1.15)","0.4 (-0.03, 0.83)","0.6 (0.17, 1.03)","0.4 (-0.03, 0.83)","0 (0, 0)","0.2 (-0.15, 0.55)","0.4 (-0.03, 0.83)","0.4 (-0.03, 0.83)"
"X-55",1,2,"0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","1 (1, 1)","0 (0, 0)","1 (1, 1)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)"
"Y-49",1,2,"0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","1 (1, 1)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)"
"Y-50",6,11,"0.33 (-0.05, 0.71)","0.17 (-0.13, 0.47)","0 (0, 0)","0.5 (0.1, 0.9)","0.33 (-0.05, 0.71)","0.17 (-0.13, 0.47)","0.33 (-0.05, 0.71)","0.67 (0.29, 1.05)","0.83 (0.53, 1.13)","0 (0, 0)","0.5 (0.1, 0.9)","0 (0, 0)","0.17 (-0.13, 0.47)","0 (0, 0)","0.33 (-0.05, 0.71)","0.67 (0.29, 1.05)","0.5 (0.1, 0.9)","0.67 (0.29, 1.05)","0.17 (-0.13, 0.47)","0 (0, 0)","0 (0, 0)","0.33 (-0.05, 0.71)","0.67 (0.29, 1.05)"
"Y-51",1,2,"0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)"
"Y-52",1,1,"1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","1 (1, 1)","0 (0, 0)","1 (1, 1)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","1 (1, 1)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)"
"Y-53",2,2,"0.5 (-0.2, 1.2)","0 (0, 0)","0 (0, 0)","0.5 (-0.2, 1.2)","0 (0, 0)","0 (0, 0)","0.5 (-0.2, 1.2)","0 (0, 0)","1 (1, 1)","0.5 (-0.2, 1.2)","0.5 (-0.2, 1.2)","0 (0, 0)","0.5 (-0.2, 1.2)","0 (0, 0)","0.5 (-0.2, 1.2)","0.5 (-0.2, 1.2)","0.5 (-0.2, 1.2)","1 (1, 1)","0.5 (-0.2, 1.2)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)"
"Z-50",2,2,"0.5 (-0.2, 1.2)","0 (0, 0)","0 (0, 0)","0.5 (-0.2, 1.2)","0.5 (-0.2, 1.2)","0 (0, 0)","0 (0, 0)","0.5 (-0.2, 1.2)","1 (1, 1)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0.5 (-0.2, 1.2)","0 (0, 0)","0.5 (-0.2, 1.2)","1 (1, 1)","1 (1, 1)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)"
"Z-51",2,2,"0.5 (-0.2, 1.2)","0 (0, 0)","0 (0, 0)","0.5 (-0.2, 1.2)","0.5 (-0.2, 1.2)","0 (0, 0)","0.5 (-0.2, 1.2)","1 (1, 1)","0.5 (-0.2, 1.2)","0 (0, 0)","0.5 (-0.2, 1.2)","0.5 (-0.2, 1.2)","0.5 (-0.2, 1.2)","0.5 (-0.2, 1.2)","0 (0, 0)","1 (1, 1)","0.5 (-0.2, 1.2)","1 (1, 1)","0.5 (-0.2, 1.2)","0 (0, 0)","0.5 (-0.2, 1.2)","0 (0, 0)","0.5 (-0.2, 1.2)"
"Z-52",5,12,"0.4 (-0.03, 0.83)","0 (0, 0)","0 (0, 0)","0.6 (0.17, 1.03)","0 (0, 0)","0.4 (-0.03, 0.83)","1 (1, 1)","0.6 (0.17, 1.03)","0.8 (0.45, 1.15)","0.6 (0.17, 1.03)","0.4 (-0.03, 0.83)","0 (0, 0)","0.6 (0.17, 1.03)","0 (0, 0)","0.2 (-0.15, 0.55)","1 (1, 1)","0 (0, 0)","1 (1, 1)","0.8 (0.45, 1.15)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0.8 (0.45, 1.15)"
"Z-53",4,7,"0.5 (0.01, 0.99)","0 (0, 0)","0 (0, 0)","0.5 (0.01, 0.99)","0.25 (-0.18, 0.68)","0 (0, 0)","0.75 (0.32, 1.18)","0.75 (0.32, 1.18)","0.75 (0.32, 1.18)","0.5 (0.01, 0.99)","0.25 (-0.18, 0.68)","0 (0, 0)","0.25 (-0.18, 0.68)","0 (0, 0)","0 (0, 0)","0.75 (0.32, 1.18)","0.25 (-0.18, 0.68)","0.75 (0.32, 1.18)","0.5 (0.01, 0.99)","0 (0, 0)","0 (0, 0)","0.25 (-0.18, 0.68)","0.25 (-0.18, 0.68)"
